"","Estimate","Std. Error","z value","Pr(>|z|)","feature","variable","n"
"1",-0.0286516926628697,0.00672617488486647,-4.2597305531461,2.04673485570409e-05,"(Intercept)","lexdiv","10"
"2",0.262186140250888,0.00954432857422268,27.4703598280345,3.96922609415534e-166,"policy_neg.abs","lexdiv","10"
"3",0.130804788471463,0.00952170524517564,13.7375380883312,6.04982144838008e-43,"policy_least.neg.abs","lexdiv","10"
"4",0.399778783471725,0.00958083070092,41.726943722462,0,"policy_pos.abs","lexdiv","10"
"5",0.385254915417728,0.00957608265363739,40.2309513558128,0,"policy_pos.rel","lexdiv","10"
"6",0.045016540156582,0.00951387941948995,4.73167024424989,2.22679946706097e-06,"policy_rev.chron","lexdiv","10"
"7",-0.128074993953836,0.00951724777582787,-13.457146117297,2.79504619936267e-41,"policy_chron","lexdiv","10"
"8",0.634203586179002,0.0096931357690195,65.4281133878262,0,"policy_pin.pred.lr","lexdiv","10"
"9",0.668061561062076,0.00971355076097199,68.7762464521497,0,"policy_pin.pred.xgb","lexdiv","10"
"10",0.89006991935043,0.00987809460967667,90.1054256433735,0,"policy_pred.nb","lexdiv","10"
"11",0.604902720693848,0.00967573541505711,62.5174929600199,0,"policy_pred.xgb","lexdiv","10"
"12",0.170593727727587,0.0082636530698696,20.6438637107837,1.10838271309913e-94,"replies_rh","lexdiv","10"
"13",-0.0268341294083893,0.00824128775015445,-3.25606024469736,0.00112969778530132,"replies_rt","lexdiv","10"
"14",0.192045807783973,0.00674258027432061,28.482539320353,1.92766997397842e-178,"pinned","lexdiv","10"
"15",-0.107631665208903,0.0117309750050156,-9.17499740327506,4.51585346673186e-20,"policy_neg.abs:replies_rh","lexdiv","10"
"16",-0.207906072347372,0.0116761820539647,-17.8059978327228,6.3490546845348e-71,"policy_neg.abs:replies_rt","lexdiv","10"
"17",-0.0883224784114372,0.00955725030077516,-9.24141103684117,2.43267702650453e-20,"policy_neg.abs:pinned","lexdiv","10"
"18",-0.122903772741934,0.0116979432978426,-10.5064428517619,8.0679471536183e-26,"policy_least.neg.abs:replies_rh","lexdiv","10"
"19",-0.312188810525034,0.0116695522478076,-26.752424077255,1.15714267192466e-157,"policy_least.neg.abs:replies_rt","lexdiv","10"
"20",-0.0248533314658394,0.00954312782391356,-2.60431715098281,0.00920575270199341,"policy_least.neg.abs:pinned","lexdiv","10"
