"","term","coef_model1","coef_model2","coef_diff","se_diff","z_value","p_value","ci_lower_95","ci_upper_95","ci_lower_99","ci_upper_99"
"1","(Intercept)",-5.47033761312095,-0.405017847212875,-5.06531976590808,0.0427138486216853,-118.587294972443,0,-5.14903890920658,-4.98160062260958,-5.17535063995754,-4.95528889185862
"2","sentiment_prob_pos",0.137450317382087,-0.0649289202376871,0.202379237619774,0.0119254995487085,16.9702943506203,0,0.179005258504305,0.225753216735242,0.1716591507823,0.233099324457247
"3","sentiment_prob_neg",-0.0357588142268848,0.0325036030330682,-0.0682624172599531,0.0146820167176861,-4.64938969710637,3.32918667633741e-06,-0.0970391700266177,-0.0394856644932884,-0.106083292324712,-0.0304415421951938
"4","lexdiv_cttr",0.548156939762025,0.191269296134141,0.356887643627884,0.0294163028578879,12.1323079025951,0,0.299231690026423,0.414543597229344,0.281111247465964,0.432664039789803
"5","num_punct",-0.048163487547293,-0.115439752418911,0.0672762648716177,0.0236694587693958,2.84232375260751,0.00447859861650146,0.020884125683602,0.113668404059633,0.00630373908165423,0.128248790661581
"6","num_sentences",0.083357315503534,0.0791014770856284,0.00425583841790562,0.0170965135976968,0.248930192321723,0.803414780161076,-0.0292533282335801,0.0377650050693914,-0.0397847806097614,0.0482964574455726
"7","SMOG_readability",0.133732515637821,0.0757367929953983,0.0579957226424228,0.0211864860859637,2.73739224178595,0.00619284050013236,0.016470209913934,0.0995212353709115,0.00341933448498042,0.112572110799865
"8","second_personTRUE",0.217438679842304,0.287071931622637,-0.0696332517803337,0.061052578522721,-1.14054563239159,0.254059052865449,-0.189296305684867,0.0500298021241993,-0.226904694054863,0.0876381904941954
"9","user_follower",0.10267927137768,-0.0806903766923092,0.183369648069989,0.0133040028581834,13.7830433460255,0,0.15729380246795,0.209445493672029,0.149098536707309,0.21764075943267
"10","cosine_1",-0.021127347255706,-0.0458815535383036,0.0247542062825976,0.0112680701682142,2.19684523729946,0.0280315010346452,0.00266878875289769,0.0468396238122974,-0.00427234247072227,0.0537807550359174
"11","hours_since_article",-1.1905708314729,-0.277873069953911,-0.912697761518988,0.0234943131305761,-38.8476035220277,0,-0.958746615254917,-0.866648907783059,-0.973219112143352,-0.852176410894624
"12","votes_pos_mean",0.200885931799568,-0.0191324061526996,0.220018337952268,0.015060464565459,14.6090007380567,0,0.190499827403968,0.249536848500567,0.181222581231645,0.25881409467289
"13","votes_neg_mean",0.0694869154938988,0.761506486187765,-0.692019570693866,0.0160391498105518,-43.1456516628208,0,-0.723456304322548,-0.660582837065185,-0.733336420605847,-0.650702720781885
"14","article_comments",-0.103838324547598,-0.00180163001184627,-0.102036694535752,0.0149174646471534,-6.84008287931308,7.91477994255274e-12,-0.131274925244173,-0.0727984638273315,-0.140464083466819,-0.063609305604685
"15","factor(genre1)/diestandard",0.832487470325595,0.276313279516573,0.556174190809022,0.101063823940286,5.50319757480815,3.7296404853393e-08,0.358089095886061,0.754259285731983,0.295833780338844,0.816514601279199
"16","factor(genre1)/diskurs",0.147782522815373,0.07587754714375,0.0719049756716235,0.0572276057790995,1.2564735968368,0.208944312860259,-0.0402611316554116,0.184071082998659,-0.0755133368153369,0.219323288158584
"17","factor(genre1)/etat",0.229725646535813,-0.0890622194059693,0.318787865941782,0.0696341737595008,4.57803760324344,4.69358333332615e-06,0.18230488537316,0.455270846510404,0.139410234337308,0.498165497546256
"18","factor(genre1)/international",0.195475608071665,0.0229883453405027,0.172487262731163,0.0514266095914248,3.35404694382039,0.000796388505902357,0.0716911079319701,0.273283417530355,0.0400123164236524,0.304962209038673
"19","factor(genre1)/kultur",0.495872735646217,-0.0460613540394889,0.541934089685706,0.0774062626802757,7.00116593826715,2.53841392350296e-12,0.390217814832366,0.693650364539046,0.342535557021316,0.741332622350096
"20","factor(genre1)/lifestyle",0.843797521075868,0.153648001838081,0.690149519237788,0.0662135522955796,10.4230855362802,0,0.560370956738451,0.819928081737124,0.519583408524374,0.860715629951201
"21","factor(genre1)/panorama",0.347694824104202,0.109553612396943,0.238141211707258,0.0543896727982027,4.37842699644127,1.19538969485244e-05,0.131537453022781,0.344744970391736,0.0980334145790879,0.378249008835428
"22","factor(genre1)/podcast",0.446648474863455,-0.0580993110513697,0.504747785914825,0.16849952592509,2.99554424941956,0.00273955549957594,0.174488715101649,0.835006856728001,0.0706930071317933,0.938802564697857
"23","factor(genre1)/recht",0.240639895495071,0.20525551819465,0.0353843773004204,0.189086778056959,0.187133006675705,0.851556349666712,-0.335225707691219,0.40599446229206,-0.451703162974306,0.522471917575147
"24","factor(genre1)/sport",0.545943531529167,0.114045613331858,0.431897918197309,0.0632531795323054,6.82808234132681,8.60578275307944e-12,0.30792168631399,0.555874150080628,0.26895772772209,0.594838108672528
"25","factor(genre1)/video",0.670631112021411,0.124363967193155,0.546267144828256,0.118115051498916,4.62487327310074,3.74827498927921e-06,0.31476164389038,0.777772645766132,0.242002772167047,0.850531517489464
"26","factor(genre1)/web",0.624644438249058,0.0848247494555501,0.539819688793508,0.0648744850809506,8.32098610293275,0,0.412665698034845,0.666973679552171,0.372703015224979,0.706936362362037
"27","factor(genre1)/wirtschaft",0.175940587800265,0.0375822289944838,0.138358358805781,0.0541016085796447,2.55737976075331,0.0105464011135776,0.0323192059896773,0.244397511621885,-0.00100738489538379,0.277724102506946
"28","factor(genre1)/wissenschaft",1.31624697113383,0.0534802309200391,1.26276674021379,0.0696632163142708,18.1267361316922,0,1.12622683623782,1.39930664418976,1.08331429498822,1.44221918543935
