"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.405017847212875,0.00636912863488057,-63.5907783357981,0
"2","sentiment_prob_pos",-0.0649289202376871,0.00240636425694625,-26.9821661663492,2.3932038846228e-160
"3","sentiment_prob_neg",0.0325036030330682,0.00235758709422817,13.7868090271801,3.05998562196723e-43
"4","lexdiv_cttr",0.191269296134141,0.00540784759810336,35.3688399431269,5.14731728525271e-274
"5","num_punct",-0.115439752418911,0.00376976300463805,-30.622549024138,6.13299516026471e-206
"6","num_sentences",0.0791014770856284,0.00386225605902874,20.4806402984893,3.20418805571394e-93
"7","SMOG_readability",0.0757367929953983,0.00368988146202819,20.525535515108,1.273525148698e-93
"8","second_personTRUE",0.287071931622637,0.00748696154817955,38.3429151833214,0
"9","user_follower",-0.0806903766923092,0.00228755908451343,-35.2735705226483,1.49336080788457e-272
"10","is_root_commentTRUE",0.4325932663694,0.00870654132625265,49.6860062060477,0
"11","level_in_tree",-0.450742323045755,0.00439453266942265,-102.568886603584,0
"12","cosine_1",-0.0458815535383036,0.00250916185901655,-18.2856093453798,1.07752621115268e-74
"13","hours_since_article",-0.277873069953911,0.00276859801717952,-100.365986044081,0
"14","votes_pos_mean",-0.0191324061526996,0.00265352948734843,-7.2101728071686,5.58809147494196e-13
"15","votes_neg_mean",0.761506486187765,0.00292804374367779,260.073466399538,0
"16","article_comments",-0.00180163001184627,0.0026532617686254,-0.679024600267637,0.497122274950763
"17","factor(genre1)/diestandard",0.276313279516573,0.0196719038041447,14.0460873674238,8.14091718392889e-45
"18","factor(genre1)/diskurs",0.07587754714375,0.00868634172477888,8.73527079038345,2.43073120203412e-18
"19","factor(genre1)/etat",-0.0890622194059693,0.0119877150515181,-7.42945749237598,1.09043982259159e-13
"20","factor(genre1)/international",0.0229883453405027,0.00808895709658626,2.84194180609566,0.00448396755330156
"21","factor(genre1)/kultur",-0.0460613540394889,0.0138287982521543,-3.33082840602677,0.000865879599367595
"22","factor(genre1)/lifestyle",0.153648001838081,0.011960514819883,12.8462699266639,9.02585028859385e-38
"23","factor(genre1)/panorama",0.109553612396943,0.0086301495798319,12.6942889440715,6.36049907439189e-37
"24","factor(genre1)/podcast",-0.0580993110513697,0.0344670614256206,-1.68564735861649,0.0918637417091261
"25","factor(genre1)/recht",0.20525551819465,0.0288724982329949,7.10903215018949,1.16859525850751e-12
"26","factor(genre1)/sport",0.114045613331858,0.0109112796825454,10.4520841413583,1.43340117325398e-25
"27","factor(genre1)/video",0.124363967193155,0.0195934575521035,6.34721905832304,2.1924184720071e-10
"28","factor(genre1)/web",0.0848247494555501,0.010978457601967,7.72647238172617,1.10567774112751e-14
"29","factor(genre1)/wirtschaft",0.0375822289944838,0.00844473647781909,4.45037321095775,8.57211900964733e-06
"30","factor(genre1)/wissenschaft",0.0534802309200391,0.0154033008140773,3.47199808440817,0.000516600023021733
