"","term","coef_model1","coef_model2","coef_diff","se_diff","z_value","p_value","ci_lower_95","ci_upper_95","ci_lower_99","ci_upper_99"
"1","(Intercept)",1.09754530411338,-0.405017847212875,1.50256315132626,0.00720316612908038,208.597597834119,0,1.48844494571326,1.51668135693926,1.48400779537775,1.52111850727477
"2","sentiment_prob_pos",-0.0213239843753308,-0.0649289202376871,0.0436049358623564,0.00270894978014634,16.0966202407786,0,0.0382953942932695,0.0489144774314432,0.0366266812286994,0.0505831904960133
"3","sentiment_prob_neg",-0.0100792531695103,0.0325036030330682,-0.0425828562025785,0.00267133738722124,-15.9406507041306,0,-0.0478186774815321,-0.0373470349236249,-0.0494642213120604,-0.0357014910930966
"4","lexdiv_cttr",0.159955150887822,0.191269296134141,-0.0313141452463192,0.00609759952011991,-5.13548735744184,2.81413798486341e-07,-0.0432654403057542,-0.0193628501868842,-0.0470215616101481,-0.0156067288824903
"5","num_punct",-0.0478171957039311,-0.115439752418911,0.0676225567149796,0.00425572380290466,15.8897898093916,0,0.0592813380612864,0.0759637753686727,0.0566598121986972,0.078585301231262
"6","num_sentences",0.02827690855995,0.0791014770856284,-0.0508245685256784,0.00435601060121039,-11.6676870601637,0,-0.0593623493040508,-0.0422867877473061,-0.0620456518343964,-0.0396034852169605
"7","SMOG_readability",0.0532989017852915,0.0757367929953983,-0.0224378912101068,0.00416263049557123,-5.39031538686397,7.03341369590049e-08,-0.0305966469814264,-0.0142791354387872,-0.0331608273666983,-0.0117149550535153
"8","second_personTRUE",0.070479362068933,0.287071931622637,-0.216592569553704,0.00852211136752714,-25.415364833064,0,-0.233295907834058,-0.199889231273351,-0.238545528436454,-0.194639610670954
"9","user_follower",0.0837346157714939,-0.0806903766923092,0.164424992463803,0.00258016326716337,63.7265844981087,0,0.159367872460163,0.169482112467443,0.15777849188759,0.171071493040016
"10","is_root_commentTRUE",0.116122598618689,0.4325932663694,-0.316470667750712,0.00988610153577033,-32.0116748351859,0,-0.335847426760821,-0.297093908740602,-0.341937265306856,-0.291004070194567
"11","level_in_tree",-0.69080746238449,-0.450742323045755,-0.240065139338735,0.00502416344584708,-47.7821117736865,0,-0.249912499692595,-0.230217778984875,-0.253007384375237,-0.227122894302233
"12","cosine_1",-0.00390601024650661,-0.0458815535383036,0.041975543291797,0.00282558449600001,14.8555257686397,0,0.0364373976796369,0.047513688903957,0.0346968376301009,0.049254248953493
"13","hours_since_article",-0.244700512106014,-0.277873069953911,0.0331725578478964,0.00307313760021513,10.7943613867385,0,0.0271492081514748,0.0391959075443181,0.0252561553897422,0.0410889603060506
"14","votes_pos_mean",0.355643216015428,-0.0191324061526996,0.374775622168128,0.00300648444892512,124.655766073268,0,0.368882912648235,0.380668331688021,0.367030918227697,0.382520326108559
"15","votes_neg_mean",0.0756336306122824,0.761506486187765,-0.685872855575482,0.00324900745052432,-211.102272315441,0,-0.69224091017851,-0.679504800972455,-0.694242298768033,-0.677503412382932
"16","article_comments",0.0409906201046398,-0.00180163001184627,0.0427922501164861,0.00296431535930539,14.435795429847,0,0.0369821920122475,0.0486023082207247,0.0351561737509154,0.0504283264820568
"17","factor(genre1)/diestandard",0.222034388749091,0.276313279516573,-0.0542788907674821,0.0223715341509371,-2.42624803472445,0.0152558397341003,-0.0981270977033189,-0.0104306838316453,-0.111907962740296,0.00335018120533199
"18","factor(genre1)/diskurs",0.291635725431505,0.07587754714375,0.215758178287755,0.00987939983108869,21.8391989368426,0,0.196394554618821,0.235121801956689,0.190308844322871,0.24120751225264
"19","factor(genre1)/etat",-0.0212535934426778,-0.0890622194059693,0.0678086259632915,0.0135109369988555,5.01879521524197,5.19965414280676e-07,0.0413271894455348,0.0942900624810482,0.0330044522542398,0.102612799672343
"20","factor(genre1)/international",0.0795113961276507,0.0229883453405027,0.0565230507871481,0.0091767174325167,6.15939754087499,7.30222105005396e-10,0.0385366846194153,0.0745094169548808,0.032883826680985,0.0801622748933111
"21","factor(genre1)/kultur",0.117579405868499,-0.0460613540394889,0.163640759907988,0.0155805340004179,10.5028980331226,0,0.133102913267169,0.194178606548807,0.123505304322912,0.203776215493064
"22","factor(genre1)/lifestyle",0.270350723694344,0.153648001838081,0.116702721856263,0.0134329380163116,8.6878031979714,0,0.0903741633442925,0.143031280368234,0.0820994735262446,0.151305970186282
"23","factor(genre1)/panorama",0.183364722840817,0.109553612396943,0.0738111104438739,0.00977937229043303,7.54763273672297,4.44089209850063e-14,0.0546435407546251,0.0929786801331226,0.0486194474237184,0.0990027734640294
"24","factor(genre1)/podcast",0.0544292016807803,-0.0580993110513697,0.11252851273215,0.0390083676502745,2.88472754720251,0.00391752534604262,0.0360721121376121,0.188984913326688,0.012042957665043,0.213014067799257
"25","factor(genre1)/recht",0.242385618471497,0.20525551819465,0.0371301002768469,0.032716479333596,1.13490513139409,0.256415069688439,-0.0269941992170013,0.101254399770695,-0.0471475504864964,0.12140775104019
"26","factor(genre1)/sport",0.175212552623655,0.114045613331858,0.0611669392917966,0.0123397982841515,4.95688323936021,7.16329949135286e-07,0.0369809346548596,0.0853529439287336,0.0293796189118223,0.0929542596717709
"27","factor(genre1)/video",0.219797436209622,0.124363967193155,0.0954334690164669,0.0223026651877435,4.27901635132435,1.87721073523495e-05,0.0517202452484896,0.139146692784444,0.0379818034928396,0.152885134540094
"28","factor(genre1)/web",0.144954020518711,0.0848247494555501,0.0601292710631608,0.012395303736253,4.85097197637024,1.22857906026397e-06,0.0358344757401048,0.0844240663862167,0.0281989686385729,0.0920595734877486
"29","factor(genre1)/wirtschaft",0.0269997978125563,0.0375822289944838,-0.0105824311819275,0.00956587449995881,-1.10626907994382,0.268610070729206,-0.0293315452018467,0.00816668283799178,-0.0352241238938214,0.0140592615299664
"30","factor(genre1)/wissenschaft",0.191540586290447,0.0534802309200391,0.138060355370408,0.0173875601513457,7.94017988542931,1.99840144432528e-15,0.10398073747377,0.172139973267045,0.093270000420541,0.182850710320274
